country name,postcode,
UK,NE62,"""NE62"","
UK,NE63,"""NE63"","
UK,NE64,"""NE64"","
UK,NE65,"""NE65"","
UK,NE66,"""NE66"","
UK,NE67,"""NE67"","
UK,NE68,"""NE68"","
UK,NE69,"""NE69"","
UK,NE7,"""NE7"","
UK,NE70,"""NE70"","
UK,NE71,"""NE71"","
UK,NE8,"""NE8"","
UK,NE82,"""NE82"","
UK,NE83,"""NE83"","
UK,NE9,"""NE9"","
UK,NE85,"""NE85"","
UK,NE88,"""NE88"","
UK,NE92,"""NE92"","
UK,NE99,"""NE99"","
UK,NE98,"""NE98"","
UK,SR1,"""SR1"","
UK,SR2,"""SR2"","
UK,SR3,"""SR3"","
UK,SR4,"""SR4"","
UK,SR5,"""SR5"","
UK,SR6,"""SR6"","
UK,SR7,"""SR7"","
UK,SR8,"""SR8"","
UK,SR9,"""SR9"","
UK,TS1,"""TS1"","
UK,TS10,"""TS10"","
UK,TS11,"""TS11"","
UK,TS12,"""TS12"","
UK,TS13,"""TS13"","
UK,TS14,"""TS14"","
UK,TS15,"""TS15"","
UK,TS16,"""TS16"","
UK,TS17,"""TS17"","
UK,TS18,"""TS18"","
UK,TS19,"""TS19"","
UK,TS2,"""TS2"","
UK,TS20,"""TS20"","
UK,TS21,"""TS21"","
UK,TS22,"""TS22"","
UK,TS23,"""TS23"","
UK,TS24,"""TS24"","
UK,TS25,"""TS25"","
UK,TS26,"""TS26"","
UK,TS27,"""TS27"","
UK,TS28,"""TS28"","
UK,TS29,"""TS29"","
UK,TS3,"""TS3"","
UK,TS4,"""TS4"","
UK,TS5,"""TS5"","
UK,TS6,"""TS6"","
UK,TS7,"""TS7"","
UK,TS8,"""TS8"","
UK,TS9,"""TS9"","
UK,TS90,"""TS90"","
UK,WF1,"""WF1"","
UK,WF10,"""WF10"","
UK,WF11,"""WF11"","
UK,WF12,"""WF12"","
UK,WF13,"""WF13"","
UK,WF14,"""WF14"","
UK,WF15,"""WF15"","
UK,WF16,"""WF16"","
UK,WF17,"""WF17"","
UK,WF2,"""WF2"","
UK,WF3,"""WF3"","
UK,WF4,"""WF4"","
UK,WF5,"""WF5"","
UK,WF6,"""WF6"","
UK,WF7,"""WF7"","
UK,WF8,"""WF8"","
UK,WF9,"""WF9"","
UK,WF90,"""WF90"","
UK,YO1,"""YO1"","
UK,YO10,"""YO10"","
UK,YO11,"""YO11"","
UK,YO12,"""YO12"","
UK,YO13,"""YO13"","
UK,YO14,"""YO14"","
UK,YO15,"""YO15"","
UK,YO16,"""YO16"","
UK,YO17,"""YO17"","
UK,YO18,"""YO18"","
UK,YO19,"""YO19"","
UK,YO21,"""YO21"","
UK,YO22,"""YO22"","
UK,YO23,"""YO23"","
UK,YO24,"""YO24"","
UK,YO25,"""YO25"","
UK,YO26,"""YO26"","
UK,YO30,"""YO30"","
UK,YO31,"""YO31"","
UK,YO32,"""YO32"","
UK,YO41,"""YO41"","
UK,YO42,"""YO42"","
UK,YO43,"""YO43"","
UK,YO51,"""YO51"","
UK,YO60,"""YO60"","
UK,YO61,"""YO61"","
UK,YO62,"""YO62"","
UK,YO7,"""YO7"","
UK,YO8,"""YO8"","
UK,YO90,"""YO90"","
UK,YO91,"""YO91"","
UK,YO95,"""YO95"","
UK,BB1,"""BB1"","
UK,BB10,"""BB10"","
UK,BB11,"""BB11"","
UK,BB12,"""BB12"","
UK,BB18,"""BB18"","
UK,BB2,"""BB2"","
UK,BB3,"""BB3"","
UK,BB4,"""BB4"","
UK,BB5,"""BB5"","
UK,BB6,"""BB6"","
UK,BB7,"""BB7"","
UK,BB8,"""BB8"","
UK,BB9,"""BB9"","
UK,BB94,"""BB94"","
UK,BD1,"""BD1"","
UK,BD10,"""BD10"","
UK,BD11,"""BD11"","
UK,BD12,"""BD12"","
UK,BD13,"""BD13"","
UK,BD14,"""BD14"","
